timestamp,sn,text
2019-03-28 10:58:44,SumitBu11365630,"RT @bstvlive: #ElectionWithBSTV 

#Exclusive : #Congress नेता @JitinPrasada का #Lucknow से लड़ना लगभग तय। https://t.co/TQWrV8w8rn"
2019-03-28 10:58:42,gurjar_bihari,RT @navjivanindia: उत्तर प्रदेश दौरे पर बुधवार को #Amethi पहुंची #Congress महासचिव #PriyankaGandhi ने कहा कि अगर पार्टी उनसे कहेगी तो वो चु…
2019-03-28 10:58:40,gkrajvanshi,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:58:14,deepakvns026,"RT @onlytg_gt: अगर धरती से 300 किलोमीटर दूर सेटेलाइट विस्फोट का अद्भुत कारनामा कांग्रेस के राज में होता तो उस परियोजना का नाम होता ""राजीव…"
2019-03-28 10:58:14,FerozAbbasi_,"RT @aulivstik: Caste, religion, community, paisa, opposition ki naak ka shape.
Elections ke waqt hum sab dekhte hain.
.
.
.
#Election2019 #…"
2019-03-28 10:58:09,Mahiram77791454,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:58:02,banapura_jain,"मैया सोनिया से कह दो छेनू आया है...🐒🐒

@INCMP 
@digvijaya_28 
@sonakshisinha 
@brajeshabpnews 
#Congress https://t.co/qjbatudsZi"
2019-03-28 10:57:51,SRSures59988523,"RT @SanjaySDutt: On way to #Karaikal to address #Congress #LoksabhaElection mtg, paid tributes to our all time inspiration &amp; beloved leader…"
2019-03-28 10:57:34,firstpost,The two Lok Sabha constituencies of #ArunachalPradesh go to polls on 11 April. The state will also elect 60 members… https://t.co/7NNAciRfiE
2019-03-28 10:57:34,ManishAhujaINC,RT @reallyurmila: Joind #Congress today. Thanks Mr. Rahul Gandhi ji 🙏 https://t.co/dPUFy7kNtV
2019-03-28 10:57:29,AMANOJKARAN,RT @chnharish: சொந்த தொகுதியில சொந்த சாதிக்காரனே மதிக்கமாட்டீங்குறானுங்க.. என்னய்யா நடக்குது தேனில ? ஆனா இவுக வாக்கு கேட்டுட்டு போன அடுத்த…
2019-03-28 10:57:23,DewasiSatpal,RT @PriyaDutt_INC: Alone we can do so little; together we can do so much. Visited different areas in Santacruz (w) on 27th March and I’m ov…
2019-03-28 10:57:13,luckysinrajput,"@BJP4UP #JantaMaafNahiKaregi #Congress को 
#EkBaarPhirModiSarkar #BJP का।"
2019-03-28 10:57:07,BharatheshBhara,"RT @publictvnews: ಪ್ರಾಮಾಣಿಕವಾಗಿ ದುಡಿಯುವ ಎತ್ತುಗಳು ಐಟಿ ದಾಳಿಗೆ ಹೆದರಲ್ಲ: ಸಿಎಂಗೆ ಸಿಟಿ ರವಿ ಟಾಂಗ್
https://t.co/TY2hk3g1oL

#CTRavi #Congress #ITRa…"
2019-03-28 10:57:04,onvinayakbhatt,Perfect illustration on how #Congress is looting our country and the people who trusted them with power for these m… https://t.co/am6BEjULZz
2019-03-28 10:56:53,bstvlive,"#ElectionWithBSTV 

#Exclusive : #Congress नेता @JitinPrasada का #Lucknow से लड़ना लगभग तय। https://t.co/TQWrV8w8rn"
2019-03-28 10:56:50,BharatheshBhara,"RT @publictvnews: ಪ್ರಾಮಾಣಿಕವಾಗಿ ದುಡಿಯುವ ಎತ್ತುಗಳು ಐಟಿ ದಾಳಿಗೆ ಹೆದರಲ್ಲ: ಸಿಎಂಗೆ ಸಿಟಿ ರವಿ ಟಾಂಗ್
https://t.co/TY2hk3g1oL 

#CTRavi #Congress #ITR…"
2019-03-28 10:56:23,haja134,RT @nakkheeranweb: 2011 ஆம் ஆண்டிலேயே செயற்கைக் கோளை தாக்கி செயலிழக்கச் செய்யும் முயற்சியில் இந்திய விஞ்ஞானிகள் வெற்றிபெற்றுள்ளனர். அந்த வெ…
2019-03-28 10:56:21,Maulesh_Pawar,#WorldTheatreDay #Congress #SCAM #Elections2019 #Election https://t.co/tg1QSjS9KN
2019-03-28 10:56:21,gurjar_bihari,"RT @navjivanindia: #Congress  प्रवक्ता रणदीप सुरजेवाला ने पीएम मोदी पर ढोंग, ड्रामा और नौटंकी करने का आरोप लगाया है। सुरजेवाला ने कहा कि #L…"
2019-03-28 10:56:17,Mabullevents,"Outdoor Events always needs a PLAN B! 
.
.
Eventos exteriores siempre necesitan un PLAN B!
.
.
#audiovisuals… https://t.co/zLCME5iqCJ"
2019-03-28 10:55:38,SanjeevDhamtan,"RT @navjivanindia: #Congress  प्रवक्ता रणदीप सुरजेवाला ने पीएम मोदी पर ढोंग, ड्रामा और नौटंकी करने का आरोप लगाया है। सुरजेवाला ने कहा कि #L…"
2019-03-28 10:55:34,AdvaniLakshya,@rishibagree It's time to remove #Congress permanently.  Poverty will go automatically.
2019-03-28 10:55:19,Hemantagrawal30,"RT @onlytg_gt: ये अंतरिक्ष ही गांधी परिवार की देन है - खुर्जेवाला 
😂😂 #MissionShakti #DRDO #ASAT #RahulGandhi #Congress"
2019-03-28 10:55:06,APRASSA2,We are happy to announce the two international speakers who will be attending our annual APRASSA Congress this year… https://t.co/9bwqkTuaoI
2019-03-28 10:55:04,ImAjha97,"RT @onlytg_gt: ये अंतरिक्ष ही गांधी परिवार की देन है - खुर्जेवाला 
😂😂 #MissionShakti #DRDO #ASAT #RahulGandhi #Congress"
